TCGA-19-4065-02A-11R-2005-01,TCGA-19-0957-02A-11R-2005-01,TCGA-06-0152-02A-01R-2005-01,TCGA-14-1402-02A-01R-2005-01,TCGA-14-0736-02A-01R-2005-01,TCGA-06-5410-01A-01R-1849-01,TCGA-19-5960-01A-11R-1850-01,TCGA-14-0781-01B-01R-1849-01,TCGA-02-2483-01A-01R-1849-01,TCGA-06-2570-01A-01R-1849-01
763,4526,683,1820,3113,284,491251,949,22400,9955
2759,8384,2763,294,715,819,83504,771,1504,21358
939,850,1250,1398,519,982,59301,1060,1553,1716
231,1266,817,459,114,305,165404,337,5404,4069
540,512,655,2891,1194,41877,135,7248,1911,3736
1282,720,1694,264,342,2286,413,1181,31702,1190
647,645,1065,879,476,795,42065,1098,907,845
377,1211,186,124,1465,1030,1582,1454,13392,35646
764,597,606,695,312,613,24579,821,851,703
188,1536,509,311,112,253,486,79,19548,1115
278,1003,509,205,136,121,5514,1534,4825,3815
527,251,765,274,95,184,12584,316,415,556
396,369,541,321,232,427,12711,422,413,332
396,95,115,117,19,36653,17,107,25,3
220,230,431,132,38,133,7234,169,654,668
216,75,438,148,147,353,858,4740,114,3053
197,518,40,27,48,38,351,68,6215,3638
32,239,62,370,304,10506,192,141,30,35
65,534,181,73,11,58,144,120,2208,5441
157,382,46,253,39,175,4990,685,93,2704
59,159,270,197,17,7788,53,3387,64,51
9,414,17,363,62,52,12,84,5732,2366
95,258,206,59,97,5347,21,241,68,28
130,293,160,27,24,117,5067,130,79,73
29,66,478,89,6,6,2518,7,2004,135
17,28,6,4,403,8,6499,208,760,1096
116,266,27,58,39,51,2484,71,1298,784
59,16,142,51,22,47,103,175,25,6098
26,316,21,13,44,39,896,126,280,1930
62,160,61,40,33,87,2726,57,418,540
58,64,121,20,126,20,268,20,2458,579
31,120,92,38,63,4,1443,23,1281,417
59,108,55,33,58,21,899,97,37,1455
56,54,47,94,50,21,131,69,2248,43
23,60,76,42,6,136,252,2190,71,159
11,88,10,52,8,13,15,21,1150,1927
71,3,72,30,24,11,153,14,1744,568
26,73,85,16,8,9,901,56,549,104
27,48,54,24,20,30,1119,11,37,627
42,2,49,17,57,1744,37,277,4,2
22,47,39,16,25,8,102,2,1478,302
30,47,63,5,3,41,16,24,1559,22
22,76,15,16,4,88,1384,138,11,14
32,58,38,5,26,326,330,103,284,253
10,39,48,36,27,56,694,30,72,428
25,61,23,32,7,3,539,19,297,316
41,2,99,3,4,1042,0,19,0,1
16,31,3,5,22,6,20,24,11,2530
12,64,2,14,6,3,948,9,21,371
2,103,0,3,3,4,2,6,356,670
5,75,1,16,15,9,281,72,50,648
22,58,12,14,9,8,76,10,18,753
5,1,1,1,55,0,0,0,3314,3
12,62,28,7,4,1,235,2,366,228
16,38,28,17,4,10,674,8,138,24
5,24,1,4,25,51,8,17,649,1290
7,28,9,3,6,9,27,16,1094,912
6,49,18,11,4,110,14,687,43,32
34,19,17,17,8,645,0,136,10,13
4,12,15,17,1,2,34,8,787,995
17,9,43,1,2,18,637,61,12,22
3,26,3,3,17,4,739,11,392,345
14,36,18,8,0,5,517,6,65,96
15,27,23,1,1,16,16,4,12,552
9,3,11,10,19,4,8,19,7,926
6,2,21,12,11,24,897,16,20,14
2,11,9,8,4,2,758,8,795,543
3,27,3,11,22,1,623,4,11,6
2,10,21,3,4,6,7,47,325,344
4,0,16,23,8,351,0,22,196,43
5,16,17,4,5,8,495,18,25,35
3,5,16,10,8,14,15,6,494,12
0,2,20,1,5,0,732,3,87,42
2,21,5,7,8,3,3,2,165,236
3,14,4,4,6,2,6,0,1,570
7,21,5,6,1,13,3,0,110,227
5,5,5,17,4,7,12,2,421,12
2,10,7,11,2,7,102,4,282,81
9,15,1,4,1,1,20,2,325,127
6,5,8,7,13,359,0,21,9,8
2,5,0,6,0,1,0,0,4828,2
0,13,12,4,7,2,4,8,264,68
7,8,3,3,2,652,1,3,7,3
0,3,9,10,2,0,258,40,292,2
9,25,0,2,0,197,0,3,65,45
5,10,7,0,1,6,4,5,297,173
1,4,1,4,4,0,1028,1,2,20
0,0,8,9,4,343,1,22,19,16
3,3,1,2,4,2,997,3,19,12
0,4,12,6,2,1,116,47,79,4
3,5,3,9,3,5,1,5,124,110
4,4,5,2,4,5,73,5,145,45
7,0,3,1,1,1,3,0,430,7
0,0,8,10,0,0,187,0,0,1
10,5,1,0,0,0,1,31,65,100
1,4,1,5,5,12,4,2,188,23
9,5,0,1,0,0,176,2,3,11
1,9,0,1,1,1,0,1,13,197
3,4,2,2,3,5,10,98,24,55
4,0,3,2,2,211,1,26,5,3
1,2,1,6,3,1,3,4,176,0
0,10,0,0,0,1,237,2,5,6
3,0,0,2,3,471,0,4,5,8
4,7,0,0,1,145,3,5,2,26
1,1,3,1,2,2,1,0,368,11
1,5,1,1,0,152,0,1,0,8
2,1,3,0,2,4,2,1,136,4
0,0,1,0,7,0,129,20,0,0
3,2,1,0,1,0,3,0,0,135
2,2,0,0,2,193,3,1,1,5
4,0,1,3,0,90,2,7,3,0
0,1,3,2,0,1,100,1,3,2
2,1,0,0,0,0,712,0,0,2
0,4,0,0,0,0,1,2,184,17
