DrugCode	GeneRatio	BgRatio	pvalue	padjust	drugEffect	Count
CC	178/4105	186/4701	7.46E-05	0.012229512	0.010642865	178
CC	260/4105	276/4701	8.81E-05	0.012229512	0.010642865	260
CC	267/4105	284/4701	0.000111515	0.012229512	0.010642865	267
CC	136/4105	141/4701	0.000154622	0.012717676	0.011067694	136
CC	165/4105	173/4701	0.000260313	0.014634458	0.012735794	165
CC	106/4105	109/4701	0.00026689	0.014634458	0.012735794	106
CC	87/4105	89/4701	0.000510214	0.02398006	0.020868905	87
CC	307/4105	331/4701	0.000746686	0.027603991	0.02402267	307
CC	164/4105	173/4701	0.000755124	0.027603991	0.02402267	164
CC	67/4105	68/4701	0.001019349	0.030905944	0.02689623	67
CC	210/4105	224/4701	0.001033329	0.030905944	0.02689623	210
CC	47/4105	47/4701	0.001652623	0.042133493	0.036667126	47
CC	295/4105	319/4701	0.001664849	0.042133493	0.036667126	295
MF	413/3773	434/4316	1.14E-08	2.30E-06	2.11E-06	413
MF	413/3773	434/4316	1.14E-08	2.30E-06	2.11E-06	413
MF	402/3773	423/4316	3.25E-08	4.37E-06	4.02E-06	402
MF	214/3773	223/4316	7.44E-06	0.000751219	0.000690934	214
MF	255/3773	268/4316	1.04E-05	0.000842804	0.000775169	255
MF	192/3773	201/4316	6.42E-05	0.004323934	0.003976938	192
MF	163/3773	170/4316	0.000120169	0.006935473	0.006378901	163
MF	165/3773	173/4316	0.000290902	0.014690557	0.013511638	165
MF	75/3773	76/4316	0.000402837	0.018082915	0.016631758	75
MF	303/3773	326/4316	0.0006085	0.0245834	0.022610579	303
MF	144/3773	151/4316	0.000746327	0.027410573	0.025210871	144
