Data source	Date of update	Product name	Alternative name	Product type	Non-traditionals categories	Antibacterial class	Indications	Route of administration	R&D phase	Clinical trials	Developer	Pathogen category	Pathogen name	Pathogen activity	Active against priority pathogens?	Innovative?	NCE?	Mycobacterium tuberculosis	Clostridioides difficile
WHO AMR pipeline analysis	Nov-21	"Bacteriophage"		Non-traditional	Bacteriophages and phage-derived enzymes	Bacteriophage	Gram positive and Gram negative	Inhalation	Phase III	NCT04682964	"Tashkent Pediatric Medical
Institute"	Priority pathogens	Streptococcus pneumoniae	Other priority pathogens	Yes	N/A	Yes	NA	NA
WHO AMR pipeline analysis	Nov-21	"Bacteriophage"		Non-traditional	Bacteriophages and phage-derived enzymes	Bacteriophage	Gram positive and Gram negative	Inhalation	Phase III	NCT04682964	"Tashkent Pediatric Medical
Institute"	Priority pathogens	Staphylococcus aureus	Other priority pathogens	Yes	N/A	Yes	NA	NA
WHO AMR pipeline analysis	Nov-21	"Bacteriophage"		Non-traditional	Bacteriophages and phage-derived enzymes	Bacteriophage	Gram positive and Gram negative	Inhalation	Phase III	NCT04682964	"Tashkent Pediatric Medical
Institute"	Priority pathogens	Pseudomonas aeruginosa	Critical priority pathogens	Yes	N/A	Yes	NA	NA
WHO AMR pipeline analysis	Nov-21	"Bacteriophage"		Non-traditional	Bacteriophages and phage-derived enzymes	Bacteriophage	Gram positive and Gram negative	Inhalation	Phase III	NCT04682964	"Tashkent Pediatric Medical
Institute"	Priority pathogens	Other priority pathogens	Other priority pathogens	Yes	N/A	Yes	NA	NA
WHO AMR pipeline analysis	Nov-21	"Bacteriophage"		Non-traditional	Bacteriophages and phage-derived enzymes	Bacteriophage	Gram positive and Gram negative	Inhalation	Phase III	NCT04682964	"Tashkent Pediatric Medical
Institute"	Priority pathogens	Neisseria gonnorhoeae	Other priority pathogens	N/A	N/A	Yes	NA	NA
WHO AMR pipeline analysis	Nov-21	"Bacteriophage"		Non-traditional	Bacteriophages and phage-derived enzymes	Bacteriophage	Gram positive and Gram negative	Inhalation	Phase III	NCT04682964	"Tashkent Pediatric Medical
Institute"	Priority pathogens	Helicobacter pylori	Other priority pathogens	N/A	N/A	Yes	NA	NA
WHO AMR pipeline analysis	Nov-21	"Bacteriophage"		Non-traditional	Bacteriophages and phage-derived enzymes	Bacteriophage	Gram positive and Gram negative	Inhalation	Phase III	NCT04682964	"Tashkent Pediatric Medical
Institute"	Priority pathogens	Gram-positive priority pathogens	Other priority pathogens	Yes	N/A	Yes	NA	NA
WHO AMR pipeline analysis	Nov-21	"Bacteriophage"		Non-traditional	Bacteriophages and phage-derived enzymes	Bacteriophage	Gram positive and Gram negative	Inhalation	Phase III	NCT04682964	"Tashkent Pediatric Medical
Institute"	Priority pathogens	Enterococcus faecium	Other priority pathogens	Yes	N/A	Yes	NA	NA
WHO AMR pipeline analysis	Nov-21	"Bacteriophage"		Non-traditional	Bacteriophages and phage-derived enzymes	Bacteriophage	Gram positive and Gram negative	Inhalation	Phase III	NCT04682964	"Tashkent Pediatric Medical
Institute"	Priority pathogens	Enterobacterales	Critical priority pathogens	Yes	N/A	Yes	NA	NA
WHO AMR pipeline analysis	Nov-21	"Bacteriophage"		Non-traditional	Bacteriophages and phage-derived enzymes	Bacteriophage	Gram positive and Gram negative	Inhalation	Phase III	NCT04682964	"Tashkent Pediatric Medical
Institute"	Priority pathogens	Critical priority pathogens	Critical priority pathogens	Yes	N/A	Yes	NA	NA
WHO AMR pipeline analysis	Nov-21	"Bacteriophage"		Non-traditional	Bacteriophages and phage-derived enzymes	Bacteriophage	Gram positive and Gram negative	Inhalation	Phase III	NCT04682964	"Tashkent Pediatric Medical
Institute"	Priority pathogens	Campylobacter spp.	Other priority pathogens	N/A	N/A	Yes	NA	NA
WHO AMR pipeline analysis	Nov-21	"Bacteriophage"		Non-traditional	Bacteriophages and phage-derived enzymes	Bacteriophage	Gram positive and Gram negative	Inhalation	Phase III	NCT04682964	"Tashkent Pediatric Medical
Institute"	Priority pathogens	All critical priority pathogens	Critical priority pathogens	N/A	N/A	Yes	NA	NA
WHO AMR pipeline analysis	Nov-21	"Bacteriophage"		Non-traditional	Bacteriophages and phage-derived enzymes	Bacteriophage	Gram positive and Gram negative	Inhalation	Phase III	NCT04682964	"Tashkent Pediatric Medical
Institute"	Priority pathogens	Acinetobacter baumannii	Critical priority pathogens	N/A	N/A	Yes	NA	NA
WHO AMR pipeline analysis	Nov-21	9MW1411	-	Non-traditional	Antibodies	Monoclonal antibody	S. aureus	IV	Phase I	NCT04784312	Mabwell Bioscience	Priority pathogens	Streptococcus pneumoniae	Other priority pathogens	N/A	N/A	Yes	NA	NA
WHO AMR pipeline analysis	Nov-21	9MW1411	-	Non-traditional	Antibodies	Monoclonal antibody	S. aureus	IV	Phase I	NCT04784312	Mabwell Bioscience	Priority pathogens	Staphylococcus aureus	Other priority pathogens	Yes	N/A	Yes	NA	NA
WHO AMR pipeline analysis	Nov-21	9MW1411	-	Non-traditional	Antibodies	Monoclonal antibody	S. aureus	IV	Phase I	NCT04784312	Mabwell Bioscience	Priority pathogens	Pseudomonas aeruginosa	Critical priority pathogens	N/A	N/A	Yes	NA	NA
WHO AMR pipeline analysis	Nov-21	9MW1411	-	Non-traditional	Antibodies	Monoclonal antibody	S. aureus	IV	Phase I	NCT04784312	Mabwell Bioscience	Priority pathogens	Other priority pathogens	Other priority pathogens	Yes	N/A	Yes	NA	NA
WHO AMR pipeline analysis	Nov-21	9MW1411	-	Non-traditional	Antibodies	Monoclonal antibody	S. aureus	IV	Phase I	NCT04784312	Mabwell Bioscience	Priority pathogens	Neisseria gonnorhoeae	Other priority pathogens	N/A	N/A	Yes	NA	NA
WHO AMR pipeline analysis	Nov-21	9MW1411	-	Non-traditional	Antibodies	Monoclonal antibody	S. aureus	IV	Phase I	NCT04784312	Mabwell Bioscience	Priority pathogens	Helicobacter pylori	Other priority pathogens	N/A	N/A	Yes	NA	NA
WHO AMR pipeline analysis	Nov-21	9MW1411	-	Non-traditional	Antibodies	Monoclonal antibody	S. aureus	IV	Phase I	NCT04784312	Mabwell Bioscience	Priority pathogens	Gram-positive priority pathogens	Other priority pathogens	Yes	N/A	Yes	NA	NA
WHO AMR pipeline analysis	Nov-21	9MW1411	-	Non-traditional	Antibodies	Monoclonal antibody	S. aureus	IV	Phase I	NCT04784312	Mabwell Bioscience	Priority pathogens	Enterococcus faecium	Other priority pathogens	N/A	N/A	Yes	NA	NA
WHO AMR pipeline analysis	Nov-21	9MW1411	-	Non-traditional	Antibodies	Monoclonal antibody	S. aureus	IV	Phase I	NCT04784312	Mabwell Bioscience	Priority pathogens	Enterobacterales	Critical priority pathogens	N/A	N/A	Yes	NA	NA
WHO AMR pipeline analysis	Nov-21	9MW1411	-	Non-traditional	Antibodies	Monoclonal antibody	S. aureus	IV	Phase I	NCT04784312	Mabwell Bioscience	Priority pathogens	Critical priority pathogens	Critical priority pathogens	N/A	N/A	Yes	NA	NA
WHO AMR pipeline analysis	Nov-21	9MW1411	-	Non-traditional	Antibodies	Monoclonal antibody	S. aureus	IV	Phase I	NCT04784312	Mabwell Bioscience	Priority pathogens	Campylobacter spp.	Other priority pathogens	N/A	N/A	Yes	NA	NA
WHO AMR pipeline analysis	Nov-21	9MW1411	-	Non-traditional	Antibodies	Monoclonal antibody	S. aureus	IV	Phase I	NCT04784312	Mabwell Bioscience	Priority pathogens	All critical priority pathogens	Critical priority pathogens	N/A	N/A	Yes	NA	NA
WHO AMR pipeline analysis	Nov-21	9MW1411	-	Non-traditional	Antibodies	Monoclonal antibody	S. aureus	IV	Phase I	NCT04784312	Mabwell Bioscience	Priority pathogens	Acinetobacter baumannii	Critical priority pathogens	N/A	N/A	Yes	NA	NA
