DEGs	log2FC	qvalue
RMRP	-11.02939569	2.56E-84
RPPH1	-10.80089967	6.19E-83
SCARNA10	-11.10547123	1.34E-66
NRXN1	-7.842059551	2.05E-64
SCARNA5	-11.01277529	2.05E-64
GRID2	-7.944021952	2.47E-63
HIST1H4D	-11.27650659	2.01E-61
HIST1H2AG	-9.847332511	3.52E-61
CPLX2	-9.386973566	3.49E-58
SCARNA2	-9.779504419	2.46E-56
HIST1H4C	-10.30495213	1.51E-54
RPLP1	6.836432944	3.20E-53
HIST1H1B	-10.61595573	1.77E-52
HSPB1	7.592994783	3.25E-49
SLC1A6	-9.246088329	1.44E-47
HLA-DPA1	7.715112311	4.48E-47
RPL18A	6.44855076	1.51E-46
CHI3L1	11.31027155	1.94E-46
GUCY1A2	-6.34140411	2.99E-46
STMN2	-7.662618189	2.99E-46
RPS26	7.418816898	7.46E-46
LINC00599	-9.149954961	1.55E-45
CDH7	-8.139669267	3.00E-43
HIST1H2BH	-7.848735511	4.11E-43
MT2A	9.18623053	7.02E-43
KCNH7	-7.720088393	8.94E-43
HIST2H2AC	-8.7132695	1.62E-42
SV2B	-9.068736442	1.80E-42
MSX1	7.295996926	6.64E-42
SCARNA12	-9.714571537	4.46E-41
GRIA2	-6.424586152	5.97E-41
HIST1H4E	-7.216946761	7.50E-41
HIST1H3C	-10.00129975	2.53E-40
UNC13C	-11.78074836	2.89E-40
HLA-DRB5	9.915090099	8.95E-40
XKR4	-6.496100594	1.31E-39
FAT2	-10.15228859	2.58E-39
RPS16	5.996188829	2.73E-39
RPS28	6.484355819	2.89E-39
HIST1H3B	-12.2833676	7.15E-39
XIST	-7.982117518	7.15E-39
CDH18	-8.142868541	7.66E-39
MYT1L	-8.343806888	9.73E-39
CAMK4	-7.725039226	1.55E-38
CSTB	5.882520432	1.92E-38
SYT13	-6.389751658	1.92E-38
HIST1H4F	-11.58653423	1.28E-37
ST18	-7.799415233	1.28E-37
CCDC114	7.044165381	1.82E-37
RIMS1	-5.665858423	1.99E-37
HIST1H2BJ	-8.989946924	2.79E-37
HMP19	-6.058437658	9.35E-37
HIST1H2BB	-10.24992709	2.02E-36
BAI3	-5.979191413	4.39E-36
GABRA1	-8.616032848	4.72E-36
RPS4Y1	10.69023562	5.20E-36
SSTR2	-7.514682172	1.39E-35
NHLH2	-7.499562397	1.90E-35
HIST1H2AH	-10.2646846	2.01E-35
HBG2	-12.8501916	2.82E-35
MIR6723	10.41527316	2.82E-35
STARD4-AS1	-6.135878732	3.21E-35
HIST1H2AI	-9.703907318	3.23E-35
HIST1H4H	-6.629010843	3.72E-35
CHCHD10	6.485779726	3.93E-35
TRIM67	-6.393290136	7.09E-35
GRM5	-7.909586495	8.38E-35
CNTNAP5	-7.855657424	1.07E-34
HIST1H3F	-10.49954498	2.80E-34
CD74	7.168396743	3.29E-34
CNR1	-5.338107821	3.46E-34
HIST1H3E	-8.348557087	6.84E-34
RYR2	-6.918209301	2.17E-33
CALN1	-7.920934175	2.44E-33
MGST1	6.137569274	2.44E-33
RPL23A	5.496748451	2.49E-33
CBLN1	-6.308939999	3.71E-33
S100A11	7.137314096	5.32E-33
SCARNA21	-8.052195059	5.84E-33
RPL9	5.594438075	6.90E-33
SNORA63	-7.260649895	7.22E-33
CLEC19A	7.050260191	7.96E-33
RPS10	6.484536843	8.60E-33
HIST1H2BI	-10.57717019	1.01E-32
SCARNA6	-8.412351815	1.28E-32
ZNF84	9.503991528	1.42E-32
RPL12	6.243949163	2.47E-32
GLRA2	-7.899352411	2.70E-32
CXCL5	7.44684762	2.74E-32
SYT14	-5.475576027	5.14E-32
SERPINA5	7.880948366	7.17E-32
HIST1H2AL	-8.425072191	8.39E-32
ATP1B2	5.371766738	9.70E-32
BHLHE22	-8.872240195	1.16E-31
DLG2	-5.575036397	3.29E-31
RPS27	6.170852957	3.44E-31
RPL39	5.340176809	3.87E-31
BANF1	5.282011434	4.83E-31
TLL1	-7.613519287	5.87E-31
GRIN2B	-11.54123802	6.63E-31
HIST1H3I	-8.458217537	8.16E-31
HIST1H4B	-9.714330708	9.80E-31
COL25A1	-5.676572329	1.06E-30
KCNK9	-5.957756302	1.10E-30
SCARNA7	-7.22347367	1.21E-30
HIST1H3H	-7.504381303	1.94E-30
B3GALT2	-6.3417479	2.35E-30
FSIP2	-6.118259989	7.17E-30
SLC4A10	-6.066084444	8.17E-30
MMP24	-5.653630615	8.61E-30
HOXB3	7.881690346	1.54E-29
TTN	-6.365121804	1.62E-29
CCDC144B	-5.440234811	1.69E-29
TPPP3	8.689086812	1.71E-29
CLVS2	-8.196884569	2.48E-29
PWAR5	-5.374278817	2.48E-29
TRIM29	7.163250946	2.58E-29
GRIN1	-7.355536944	2.85E-29
CELF4	-5.89926236	3.09E-29
KCND2	-5.059541686	3.73E-29
NCAM2	-5.521035947	4.69E-29
KCNC2	-7.721324025	5.12E-29
HIST1H2BO	-9.42958133	6.44E-29
MIR3609	-5.586083853	7.15E-29
ST6GAL2	-7.139408691	8.43E-29
ATP5D	5.206668834	8.45E-29
MTUS2	-7.27799708	1.33E-28
NEUROD1	-6.810296871	1.93E-28
SNORD17	-6.968781294	2.10E-28
INA	-7.082726961	2.17E-28
HIST1H1D	-9.393708502	2.68E-28
ATRNL1	-6.323880632	2.79E-28
PTMS	5.112539962	2.83E-28
HIST2H2AB	-10.62764474	2.86E-28
BCL3	6.050238944	5.19E-28
SNORA12	-9.03665451	5.63E-28
IL1RAPL1	-6.18690856	2.25E-27
SNORA8	-5.332159711	2.36E-27
CELF2-AS2	-9.365532502	2.49E-27
SERPING1	5.328858532	2.83E-27
HECW1	-7.404350751	2.85E-27
KCNA1	-7.008632224	4.25E-27
LPPR4	-5.972323439	4.60E-27
IFITM3	7.501194907	5.35E-27
CA3	8.47239044	9.64E-27
HIST1H4I	-7.316245501	1.03E-26
CAPS	8.946281718	1.23E-26
HIST1H2AK	-7.305108467	2.35E-26
RNA45S5	-18.01098872	2.38E-26
SLC8A1	-5.395328147	2.72E-26
EFHD1	6.323131488	3.05E-26
ANK3	-5.457550466	4.03E-26
HOXA3	7.844198685	6.13E-26
PCDHA3	-5.975474854	1.48E-25
ATP8A2	-8.639509375	2.79E-25
HIST1H2BL	-12.65733411	3.57E-25
NDST3	-5.743793563	3.81E-25
RAB13	5.680688931	4.32E-25
DGKI	-5.074622773	5.25E-25
SPAG6	8.378413237	5.54E-25
RPSA	4.714937067	6.01E-25
NEUROD2	-7.628887642	8.46E-25
FTH1	6.167351521	8.53E-25
DNM3	-4.978288247	1.09E-24
SHPRH	-4.846240618	1.22E-24
CCL2	5.771009167	1.36E-24
TRPM3	-5.624687603	1.47E-24
RPS7	5.458195389	1.72E-24
TMA7	5.081161487	2.01E-24
PCDH11X	-8.352040981	2.60E-24
MRPL12	5.081842387	2.69E-24
PRAME	8.063275588	2.69E-24
RANBP17	-5.226483594	5.53E-24
SPOCK3	-7.656879087	5.87E-24
ARPP21	-7.259351799	7.24E-24
LHFPL4	-4.904993683	9.75E-24
RAC1	4.400506294	9.75E-24
RNF208	6.331942326	1.09E-23
HIST1H4A	-6.479906427	1.30E-23
RPL7	6.272438256	1.40E-23
TIMP1	6.362723483	1.40E-23
RPS2	4.787026516	2.00E-23
HIST1H2BM	-9.54289647	2.66E-23
PDE1C	-4.687250631	3.23E-23
ZNF460	-4.403017952	3.67E-23
LINC01105	-5.837190434	3.83E-23
CACNA2D1	-4.665173951	4.41E-23
RPS15	4.798881071	4.86E-23
KCNJ13	-5.546956205	6.31E-23
UNC5C	-4.775870384	6.86E-23
HLA-DRB1	7.462074708	7.06E-23
GRIK2	-5.455002516	7.06E-23
FOXG1	7.27977452	7.19E-23
IFI27L2	4.927783061	8.28E-23
ITGA8	-5.728704459	8.87E-23
IFITM2	8.218225737	1.18E-22
SLITRK6	-8.642681128	1.21E-22
ADCYAP1	-7.704739605	1.22E-22
ODF3B	5.93313456	1.43E-22
LRRTM3	-5.497844638	1.60E-22
ELAVL2	-5.386273288	2.12E-22
NYAP2	-9.19362924	2.27E-22
ENC1	-4.371439379	2.35E-22
SOGA3	-5.076396182	2.37E-22
ZNF91	-5.033820752	2.41E-22
ANP32B	4.875926069	3.08E-22
ZNF385A	5.775357741	3.12E-22
CERS1	6.15165207	4.12E-22
RNF152	-5.526283399	5.70E-22
TRHDE	-10.08345386	5.86E-22
NFIC	5.284037463	6.11E-22
GNRHR	-7.551597013	7.55E-22
ZNF124	-4.94253493	7.93E-22
ACTL6B	-6.230606706	8.66E-22
PPP1R1B	6.920580813	9.44E-22
KCNJ6	-6.555848797	9.50E-22
PDLIM4	4.681282995	9.66E-22
PTCHD2	-6.516617686	1.03E-21
RAB3C	-6.398307477	1.03E-21
SLC38A3	4.374670388	1.20E-21
AFF2	-5.992646961	1.25E-21
ALAS2	-7.949006904	1.25E-21
XKR7	-7.464617084	1.26E-21
TCEAL3	4.410869671	1.27E-21
DCX	-6.045633883	1.30E-21
GRM1	-5.961747891	1.39E-21
HOXA4	8.58192719	1.66E-21
FGF14-IT1	-6.638355844	2.12E-21
PRLR	-6.650057354	2.22E-21
NENF	4.618395437	2.26E-21
FAM127B	4.886545144	3.01E-21
MT1F	6.853461316	3.12E-21
HIST1H4L	-15.12074229	3.38E-21
LOC101928961	-7.836748924	3.49E-21
PCDHGB4	-6.82086198	3.49E-21
PLEKHB1	4.94910925	3.49E-21
SCN3B	-5.585398125	4.00E-21
RGS8	-6.73107383	4.13E-21
FLRT2	-5.390606617	4.71E-21
SLC39A4	5.284338587	5.08E-21
C5orf49	6.23774765	5.19E-21
HIST1H1E	-7.9386086	5.57E-21
N4BP2L2-IT2	-5.228177475	5.86E-21
HIST1H2AJ	-15.03135491	6.18E-21
MAOB	6.802211777	6.90E-21
HIST1H2BN	-5.778961539	8.20E-21
NBEA	-4.741121173	8.79E-21
CNTN6	-6.570934205	8.86E-21
PLP2	5.61102474	9.21E-21
GADD45A	4.585561183	1.06E-20
FAXC	-5.041703482	1.23E-20
PCDHA2	-5.249290273	1.23E-20
C11orf88	10.22144262	1.28E-20
AK1	6.03632471	1.57E-20
ARHGDIA	4.298273781	1.76E-20
RSPO4	5.925171008	1.82E-20
RALYL	-4.370505401	1.84E-20
SYT2	-5.415986666	2.17E-20
SUMO1P3	-5.661502633	2.18E-20
HOXA2	7.17921789	2.21E-20
CYP4F12	9.65317838	2.25E-20
HLA-DPB1	5.523157549	2.47E-20
RPS3A	4.606237042	2.83E-20
ANKRD36	-4.513691159	3.47E-20
SNORD10	-5.814294778	3.52E-20
NDUFA3	4.761509643	3.58E-20
BGN	5.209997802	4.13E-20
ELAVL4	-5.225751672	4.31E-20
TAGLN2	5.217890981	4.32E-20
PLCL1	-4.579282805	5.14E-20
SLC6A15	-5.197138829	5.35E-20
PEBP4	8.282190416	6.81E-20
TTN-AS1	-5.439013578	7.23E-20
GPRIN3	-5.848733663	7.90E-20
SLC35F3	-5.596268299	8.59E-20
CCDC19	7.830235321	9.82E-20
CNKSR2	-4.463536362	1.06E-19
TRPC3	-7.652989279	1.06E-19
ABCA9	-5.515988554	1.15E-19
RUNDC3B	-4.498849956	1.22E-19
PCDHGB5	-5.428237906	1.30E-19
MUC1	6.318906176	1.43E-19
HOTAIRM1	10.98659081	1.61E-19
ZBTB37	-4.317298015	1.81E-19
PNMT	5.664274952	1.84E-19
RORC	6.498605067	1.85E-19
MIR124-2HG	-6.661234872	2.15E-19
SORBS3	4.424054455	2.15E-19
PWARSN	-4.623172725	2.87E-19
C4orf48	4.760283482	3.06E-19
PIK3C2G	-8.267578407	3.07E-19
PCDHA11	-4.953687836	3.20E-19
SCARNA9	-5.260822477	3.33E-19
PPP1R14B	4.421529192	3.53E-19
LRFN5	-4.288207744	3.80E-19
LOC728392	4.23848048	3.98E-19
THSD7A	-5.873258882	3.99E-19
SYT1	-4.242400909	4.19E-19
TRPM8	5.128882611	4.41E-19
WBP2	4.130872719	5.07E-19
IL32	5.237535143	5.58E-19
KCNQ1OT1	-4.836352799	5.87E-19
PLEKHA4	6.199621272	6.95E-19
TRHDE-AS1	-7.995758773	7.07E-19
CCDC124	4.248597156	7.33E-19
NBEAL1	-4.177111837	7.82E-19
BLOC1S1	4.753477304	8.81E-19
KCNIP4	-4.557970471	9.05E-19
INSM1	-5.311736852	9.39E-19
NNMT	8.251676833	1.14E-18
ROBO2	-5.435107086	1.28E-18
IER3	5.132156342	1.43E-18
ST8SIA3	-4.743981817	1.75E-18
MMP24-AS1	4.397651086	1.92E-18
CNTN4	-4.921321132	2.34E-18
UNC79	-5.645264143	2.39E-18
SLC2A4RG	4.08781052	2.46E-18
KDM5D	8.323654429	2.55E-18
ZNF737	-4.13273712	2.73E-18
GAD2	-8.759055077	3.28E-18
C10orf105	5.974100923	3.51E-18
DOCK4-AS1	-7.79325575	3.53E-18
CA8	-6.679205966	3.60E-18
ABCC3	6.217947692	4.19E-18
PCDHA9	-6.506060902	4.27E-18
ZNF503	4.861206009	4.28E-18
LY6H	4.307713791	4.30E-18
PCDHA6	-9.32368875	4.36E-18
RPL6	3.888340451	4.42E-18
FAT4	-4.811919852	4.60E-18
CDK2AP2	4.286765144	4.85E-18
GNG5	4.567142908	5.19E-18
PCDHAC1	-4.872966454	6.20E-18
HIST1H2BF	-8.660560262	6.74E-18
ADAM22	-4.293465045	6.91E-18
ESRRG	-4.608711731	7.65E-18
FGF5	-6.060665199	8.59E-18
DIRAS2	-4.310150218	8.96E-18
CDH8	-5.697610327	9.28E-18
PCDHA7	-6.605455174	9.61E-18
CDC42EP1	4.159655116	1.01E-17
ZNF385B	-6.146960747	1.04E-17
GMPR	5.562902539	1.08E-17
S100A4	5.973408385	1.09E-17
FER	-3.995562123	1.15E-17
NRSN1	-7.290167674	1.17E-17
TBX18	-4.609077699	1.27E-17
HIST2H2BF	-7.208342254	1.44E-17
CXCL3	5.725493658	1.45E-17
OPRM1	-14.15063899	1.45E-17
ANO4	-5.997936117	1.49E-17
MYT1	-4.150637738	1.52E-17
PCDHGA5	-5.089832003	1.63E-17
MGAT4C	-7.143413872	1.67E-17
GS1-18A18.1	-7.73782371	1.75E-17
FAM81B	6.959203453	1.76E-17
AMER3	-13.75379851	1.83E-17
HMGN5	4.247981809	1.94E-17
CACNA1B	-5.293886792	2.10E-17
IGF2	6.254970722	2.11E-17
CADM2	-4.603227109	2.17E-17
KIAA1024	-4.635611026	2.23E-17
KRTCAP2	4.074214341	2.36E-17
CNTNAP4	-14.45337143	2.40E-17
FABP5	4.964121407	2.43E-17
AFAP1-AS1	-7.016858524	2.63E-17
ANGPTL3	-7.503498954	2.66E-17
PCDHGA11	-5.452000731	2.70E-17
ATN1	4.226487336	2.91E-17
NKAIN2	-5.32961515	3.04E-17
S100A1	5.213945366	3.22E-17
KRT10	4.327981482	3.28E-17
KRT222	-7.630077883	3.30E-17
MDGA2	-4.500534813	3.30E-17
PLXNC1	-3.817174675	3.42E-17
ATP6V0C	4.207910951	3.50E-17
TET1	-4.116800497	3.50E-17
TMTC2	-4.073622246	3.69E-17
HHLA3	4.720647643	3.75E-17
HIST1H3J	-13.31159248	3.75E-17
RPL10	3.809845704	3.93E-17
UCP2	3.968412072	3.93E-17
MIR133A1HG	-7.216990892	4.09E-17
CATIP	5.667185572	4.44E-17
FAM92B	8.563920637	4.49E-17
LINC00092	4.740438492	4.67E-17
TMEFF2	-4.213780163	4.89E-17
GRM4	-7.112630585	4.90E-17
N4BP2	-3.824949548	4.96E-17
MIR31HG	6.876610265	5.03E-17
HIST1H2AE	-7.066447685	5.25E-17
C19orf53	4.055379518	5.45E-17
ADCY1	-5.428525603	5.78E-17
GSTM4	4.054975689	6.17E-17
NKAIN3	-5.07359337	6.26E-17
LOC101929369	-5.721869659	6.47E-17
PRAF2	4.941152086	6.65E-17
CCDC153	8.089318753	7.13E-17
HLA-DRA	5.897637973	7.16E-17
MYOM3	5.588685259	7.84E-17
TRPC5	-7.102462959	7.98E-17
DOCK11	-4.309937713	8.46E-17
EYS	-4.413750586	8.78E-17
SH3BGRL3	4.967774403	8.78E-17
CRIP2	3.699430532	8.88E-17
REEP6	4.302714971	8.88E-17
SNORA53	-11.54709855	8.88E-17
RGS7BP	-6.49927597	9.32E-17
TENM1	-5.387802115	9.60E-17
PCDHA8	-7.730952769	1.05E-16
KIAA1107	-4.945630406	1.19E-16
