depth	tech	TSS_enrichment	Unique_nr_frag_in_regions	%_unique_nr_frag_in_regions_in_cells	median_cell_type_pred_score	fc__B_cell
5	10xmultiome	23.82272697	935.75	0.251371836	0.545497906	8.155353733
5	10xv1	25.89850531	1018.5	0.220829966	0.610866132	7.986556299
5	10xv11	20.4992344	1094.5	0.25594853	0.616147023	12.01977937
5	10xv11c	21.58123654	1770.25	0.381772466	0.679822302	
5	10xv2	23.673049	2466.75	0.514450072	0.702834215	17.6229972
5	ddseq	34.11715798	1498.5	0.300513804	0.564712822	5.312306136
5	hydrop	22.61730457	677	0.175279551	0.476613126	1.772972587
5	mtscatac	13.9925667	706.75	0.171025453	0.532129435	9.866193429
5	mtscatacfacs	21.49368138	1676.5	0.372341052	0.673898957	
5	s3atac	3.6975	169.5	0.046376148	0.385476421	
10	10xmultiome	26.63976286	1739.5	0.235301557	0.629909136	7.412081265
10	10xv1	27.73686744	1918.5	0.206970552	0.647951898	11.77724784
10	10xv11	21.15040473	1951.5	0.22631504	0.706401616	12.17427298
10	10xv11c	22.04840846	3256	0.352300358	0.697537901	
10	10xv2	24.54531027	4354.25	0.456602968	0.744827295	22.65289694
10	ddseq	34.74806216	2400.75	0.241765009	0.636545696	8.628430113
10	hydrop	26.74642391	971	0.122432826	0.544953339	5.077218548
10	mtscatac	17.59007276	1270.25	0.154188184	0.608684235	8.763263108
10	mtscatacfacs	21.98073385	2995.25	0.331228241	0.745770759	
10	s3atac	5.948474668	328.5	0.045173401	0.391885312	2.104431336
15	10xmultiome	27.09931675	2451	0.2222391	0.705207842	12.80868267
15	10xv1	27.86055631	2720.5	0.195324501	0.720458234	20.55413151
15	10xv11	21.2966914	2648.75	0.20346397	0.737959734	23.03155821
15	10xv11c	22.10405582	4548.5	0.327298812	0.768485846	
15	10xv2	24.70791098	5899	0.412380507	0.800360549	20.88332031
15	ddseq	34.82397843	2996.75	0.204168376	0.691503339	9.459284566
15	hydrop	28.00585048	1130.5	0.094894397	0.562977264	5.058900436
15	mtscatac	18.69472592	1754.25	0.141830846	0.618277449	14.65417398
15	mtscatacfacs	22.18350845	4095	0.300585471	0.795505933	
15	s3atac	7.419301242	481	0.04431123	0.433152179	1.879796923
20	10xmultiome	27.23088457	3099.25	0.208138628	0.726279887	14.8424603
20	10xv1	27.90448372	3447.5	0.185235203	0.771784607	20.14633542
20	10xv11	21.2815479	3243	0.185101605	0.769240438	19.29764167
20	10xv11c	22.11264185	5671.5	0.305817456	0.77953685	
20	10xv2	24.76451207	7167.25	0.376767728	0.824768395	23.80796709
20	ddseq	34.775452	3421.5	0.17665692	0.710297604	9.400861915
20	hydrop	28.50478406	1239	0.077781396	0.577072327	4.421941421
20	mtscatac	19.21689302	2176.25	0.131787957	0.652608046	13.25257413
20	mtscatacfacs	22.23368697	5025	0.275912439	0.824501852	
20	s3atac	8.441709969	629.25	0.043582985	0.443186296	4.460811675
25	10xmultiome	27.231521	3623	0.193799669	0.729009264	16.31152529
25	10xv1	27.82396055	4104.5	0.176363666	0.802067902	23.14170498
25	10xv11	21.3101881	3850.25	0.16997799	0.782342624	19.34706216
25	10xv11c	22.26683594	6627	0.2870912	0.797182252	
25	10xv2	24.80855148	8238.25	0.347225926	0.834153347	22.9929938
25	ddseq	34.66086373	3740.75	0.155122353	0.72797328	10.38783763
25	hydrop	28.72873226	1320	0.066039739	0.59043826	5.772730798
25	mtscatac	19.51097841	2549.5	0.123289013	0.669799692	16.58981097
25	mtscatacfacs	22.32326188	5825.25	0.255351479	0.843408783	
25	s3atac	9.288789527	773.5	0.042975147	0.467897158	3.456260029
30	10xmultiome	27.37605163	4060.5	0.181408741	0.738559423	16.74079606
30	10xv1	27.78652591	4708	0.16845468	0.790458157	22.60428773
30	10xv11	21.38537436	4395.25	0.157235171	0.790949711	25.87596859
30	10xv11c	22.22356908	7522.25	0.27057406	0.823854871	
30	10xv2	24.83339912	9162.75	0.322202598	0.852869109	24.59413633
30	ddseq	34.69855992	3996.5	0.137970541	0.742297077	9.627787744
30	hydrop	29.15983668	1380	0.05745594	0.599272565	4.059548872
30	mtscatac	19.68574949	2883.25	0.115960119	0.659638101	16.82711489
30	mtscatacfacs	22.67556562	6532	0.237815486	0.838429364	
30	s3atac	9.830522269	915.5	0.042417668	0.493813031	4.543611835
35	10xmultiome	27.19688257	4447	0.170551556	0.761425374	15.36442293
35	10xv1	27.6696047	5270.5	0.161342564	0.829100164	23.94407762
35	10xv11	21.31124212	4883.5	0.146352934	0.81546629	31.55035401
35	10xv11c	22.18974349	8304.5	0.255936938	0.826733977	
35	10xv2	24.75492056	9963	0.300646614	0.852024901	25.00320559
35	ddseq	34.41109571	4197	0.124281447	0.729768124	10.39281679
35	hydrop	28.85134456	1427	0.050895825	0.60966507	4.787336664
35	mtscatac	19.57760843	3179.5	0.1095606	0.674814136	17.50386301
35	mtscatacfacs	22.50331126	7141.25	0.222635234	0.869338761	
35	s3atac	10.09222293	1054.25	0.041900845	0.502199149	6.495024258
40	10xmultiome	27.06508175	4842	0.159505426	0.776773454	17.8614321
40	10xv1	27.58627801	5859	0.15387917	0.841790028	24.1153096
40	10xv11	21.33060985	5429.25	0.137735192	0.809961556	25.19251133
40	10xv11c	22.16180679	9082	0.240739484	0.806328516	
40	10xv2	24.78469598	10765	0.279082282	0.85008167	24.0438729
40	ddseq	34.27890716	4391.25	0.111457841	0.753482164	11.13774775
40	hydrop	28.86608391	1467	0.044976593	0.598870513	7.690853429
40	mtscatac	19.66993862	3497.25	0.103005169	0.681603158	20.56092266
40	mtscatacfacs	22.58328169	7767.75	0.207313556	0.881920757	
40	s3atac	10.50611332	1216.75	0.041354416	0.541532435	4.479852288
