Gene	Beta_Untreated_day14	Beta_5d-release_etoposide	Depmap
MCAT	-0.330672734	-0.012519941	-0.259943102
DHRSX	-0.624261383	-0.31057448	-0.355351791
PIGV	-0.854223149	-0.56339663	-0.266960374
ALDOC	-0.320940373	-0.030809736	-0.224108204
SLC38A2	-0.754017758	-0.467652325	-0.351263124
COX15	-0.441116062	-0.155860517	-0.630686249
HCCS	-0.574525231	-0.290431939	-0.227183836
ATP13A1	-0.758201409	-0.483010482	-0.248844262
ISCA2	-0.469112396	-0.194489465	-0.812290472
PMVK	-0.837728695	-0.564146844	-0.600870337
MVD	-1.019344646	-0.750851068	-0.982261497
CAD	-1.02787626	-0.761198361	-0.385269862
ADCY5	-0.38428919	-0.118219586	0.121094782
SDHD	-0.725300976	-0.46385879	-0.950032972
SLC4A11	-0.516977913	-0.255794696	0.125294177
NDUFA13	-0.849748791	-0.589187009	-0.303150008
TKT	-0.539400259	-0.280070492	-0.625564191
IDH3A	-0.500710968	-0.24432916	-0.387071032
ADSL	-0.695813189	-0.440814478	-1.067159011
UQCRC2	-0.87300534	-0.621757624	-0.781383638
NDUFA10	-0.112067495	0.138363542	-0.438477895
ACOX3	-0.688596075	-0.446136751	-0.036388593
SDHB	-0.712004297	-0.471474171	-0.624277029
PIGS	-0.508560053	-0.268364321	-0.376475329
DLST	-0.392428982	-0.1535391	-0.396672804
FH	-0.430612696	-0.193342912	-0.352037589
NUDT5	-0.066742503	0.16981733	0.006685993
COX10	-0.532802477	-0.29787746	-0.504765569
ATP5F1A	-0.894517648	-0.661971931	
HEL-S-123m	-0.894517648	-0.661971931	
GUK1	-1.263677442	-1.033101428	-1.505081783
NME3	-0.541864948	-0.313674421	-0.146747178
FXN	-0.560862009	-0.337709582	-0.787669312
ENO1	-0.974209246	-0.75403594	-0.725121943
PDE6B	-0.32698202	-0.109194369	-0.200415396
ACBD3	-0.495301292	-0.279575067	-0.074593982
MGLL	-0.432382216	-0.217675327	-0.063912869
UQCRC1	-0.682592347	-0.473002909	-0.617856067
PLA2G2F	-0.151167567	0.058403459	-0.111657192
ATP5F1D	-0.878933232	-0.673522397	
SLC25A26	-0.630631655	-0.425923436	-0.667438351
DPM1	-0.497222486	-0.292526877	-0.342313903
ATP6V0B	-0.85155623	-0.647363988	-1.485630136
MVK	-1.055152147	-0.852313986	-1.215429248
