gene	lineage	Fig4DE.genecluster	E3	E4	E5.pre-lineage	EPI	PE	TE	EPI	PE	TE	EPI	PE	TE
ACE	EPI	EPI.early	0.3	17.5	10.3	15.4	6.7	3.9	11.1	1.3	0.8	4.3	0.6	0.2
ARGFX	EPI	EPI.early	121.4	129.5	17.9	29.7	15.4	4.3	19.2	4.9	0.5	25.7	2.3	0.4
ASH2L	EPI	EPI.early	8.2	58.8	58.6	132.9	92.6	22.9	67.2	31.6	19	59.6	38.9	19.8
BTLA	EPI	EPI.early	9.3	6.4	2.2	13.3	1.6	0.4	6.5	1.3	0.2	7.5	1.9	0.1
CASP8	EPI	EPI.early	2.9	5.7	6.6	11.1	7.8	2	9.1	2.4	0.7	10.2	3.7	0.8
CFLAR	EPI	EPI.early	3.3	81.8	80.5	149.9	110.8	13.6	95.3	27.6	3.1	40.8	27.1	3.7
CPT1A	EPI	EPI.early	3.9	1.8	2.7	4.3	2.2	0.7	5.9	1.5	0.5	7.1	1.8	0.8
DPPA2	EPI	EPI.early	50.6	45.9	20.6	54.8	17.6	12.8	124.8	45.4	11.4	143.9	35.8	12.4
DPPA4	EPI	EPI.early	6.9	75.4	53.2	89.5	57.8	36.7	122.8	61.6	33	144.3	48.5	39.2
DPPA5	EPI	EPI.early	9512.7	1339	486.2	1064.9	393.7	235.8	1352.5	361.9	48	1218.4	205.7	32
FOXD3-AS1	EPI	EPI.early	7.9	7.4	7.9	42	9	3.3	41.9	20.2	1.8	66	10	1.4
HEY2	EPI	EPI.early	2.5	6.7	5.2	6.9	3.8	3.2	6.5	0.5	0.2	6.5	0.9	0.3
ITFG3	EPI	EPI.early	32	82.4	52.2	71.9	32.1	16.5	35	15.5	6.2	24.1	11.7	5
KLF17	EPI	EPI.early	634.2	69.4	5.8	15.6	5.6	1.4	30.5	5.3	0.9	25.7	2.9	0.5
LAPTM4B	EPI	EPI.early	33.8	76.5	58.6	105.5	54.3	36.4	141.5	47.6	24.9	92.7	58.5	18.1
LDLRAP1	EPI	EPI.early	10.9	20	21.2	22.8	8.1	6.1	22.1	3.7	2.9	22	7.7	3.5
MT1X	EPI	EPI.early	554.4	349	487.1	748.5	392.1	190.9	415.5	119.2	15.8	652.6	103.6	11.8
NGEF	EPI	EPI.early	0.7	8.1	8.2	15.4	10.2	2.3	10	1	0.2	7	2.6	0.2
PBX3	EPI	EPI.early	9.5	11	8.5	20.9	12	4.2	16.7	3.4	2.4	11.2	6.1	1.2
PLA2G4F	EPI	EPI.early	0.3	6.8	6	12.8	5.9	2.4	9.2	2.8	1.5	9.1	1.4	0.4
POU5F1	EPI	EPI.early	9	102.3	108	159.8	140.4	63.9	196.8	46.9	18.8	144.6	49.6	7.6
PRDM14	EPI	EPI.early	3.7	18.3	13.9	73.8	12.4	4.3	52.8	7.5	0.9	43.6	6.4	0.7
PSORS1C2	EPI	EPI.early	4.1	160.7	37	51.1	30.2	8.2	32.9	2.7	0.6	33.9	6.1	1
SERPINB6	EPI	EPI.early	4.3	77.2	80.7	96.8	87.9	37.4	117.2	37.7	9.1	94.4	34.3	12.3
SH3PXD2A	EPI	EPI.early	0.6	3.1	1.5	5.2	1.8	0.4	3.2	1.3	0.3	3.2	1	0.2
SHPK	EPI	EPI.early	11.7	36.1	40.5	63.7	41.6	19.1	38.6	11.7	6.7	34.8	18.9	5.7
SLC25A12	EPI	EPI.early	8.4	8.8	8.7	15.5	4.8	1.3	8.1	2.7	0.6	8.2	1.3	0.4
SOX2	EPI	EPI.early	7	22.8	11.8	36.7	10.8	2.1	22.4	2.6	1	15.1	2.1	0.4
SUSD2	EPI	EPI.early	2.8	43.3	76.5	102.8	33.6	51.4	121	34.6	20.2	218.5	29.6	11.7
TNFRSF8	EPI	EPI.early	1.2	2.5	2.1	2.2	0	0.1	4.5	1.2	0.2	13.4	1.4	0.2
UBTD1	EPI	EPI.early	22.9	27.3	11.8	25.7	14.9	4.4	30.8	2.8	1.9	22.4	13.4	3.1
AARS2	EPI	EPI.late	2.3	13.8	17.3	44.1	19.5	8.5	21.8	7.5	4.8	16.7	6.2	4.2
ABHD12B	EPI	EPI.late	5.8	11	16.7	33.3	17	12.3	57.4	18.3	9.8	37.6	9.9	5.1
ANKRD45	EPI	EPI.late	1.4	0.2	1	10.7	6.2	0.5	5.9	0.7	0.2	6.6	1.1	0.1
APOBEC3C	EPI	EPI.late	0	0	2.4	20.9	10.9	0.5	26.1	4.9	0.7	21.3	5.2	0.5
APOBEC3D	EPI	EPI.late	0.1	0	0.7	4.2	2.5	0.4	8.2	1.6	0.2	5.8	0.9	0.2
ATP8B2	EPI	EPI.late	0.1	0.4	1.3	5	2.4	0.7	8.5	4	0.3	8.4	1.9	0.5
BCOR	EPI	EPI.late	10.8	10.1	8.6	31.1	11.1	5.6	30.5	8	4.3	19.6	5.3	2.6
CAMKV	EPI	EPI.late	0.3	0.3	0.7	6.5	2.9	0.5	7.1	2.2	0.2	7.4	0.8	0.3
CAPG	EPI	EPI.late	1.2	1.2	29.1	127.9	111.6	33.4	130.2	60.9	24.6	99.7	33.8	22.7
CBFA2T2	EPI	EPI.late	6.6	4.3	7.6	36.8	19.4	6.3	29	6.9	4.1	14.2	4	2.6
CCDC80	EPI	EPI.late	0.9	1	2.1	11.4	2.3	1.8	12.6	3	0.7	15.6	1.2	0.7
CDHR1	EPI	EPI.late	0	0.3	1.9	17.1	7.5	0.6	11.3	2.9	0.4	11.4	3.9	0.5
CHST2	EPI	EPI.late	1.2	7.7	19.2	49.5	33	18.9	32.6	5.7	4.6	20.6	7.3	2.7
CREBL2	EPI	EPI.late	1.6	3.9	6.1	21.8	16.3	3.6	17.2	4.1	2.8	10.2	3.9	1.8
CXCL12	EPI	EPI.late	0.1	0.3	1.6	9.7	7.1	0.4	20	3.1	0.5	14.4	1	0.2
DND1	EPI	EPI.late	8.7	3.3	7.6	44.4	26.4	3.6	75.3	16.5	5.8	64.3	12.5	6.4
DOCK6	EPI	EPI.late	0.7	2.6	5.6	21.7	12	4.7	9.8	4.3	2.1	7.7	2.7	1.9
ESRG	EPI	EPI.late	0.4	3.2	11.5	58.4	21.8	11.2	81.6	18.9	9.5	72.4	13.5	7.1
ETV1	EPI	EPI.late	0.6	0	0.5	4.8	3.9	0.2	4.8	1.4	0.2	5	0.6	0.1
ETV4	EPI	EPI.late	16.1	14.3	13.5	100.5	44.3	6.7	90	15.5	2.4	82.5	36.1	5.8
FAM124A	EPI	EPI.late	0.6	2.4	2.3	8.8	5.8	0.7	8.7	0.7	0.2	2.3	1	0.2
FAM46B	EPI	EPI.late	26	19.5	47.4	80.3	41.4	35.7	101.2	14.4	14	49	17.1	10.6
FBP1	EPI	EPI.late	3.7	1.5	9.4	98.7	36.9	2.9	80.4	25.6	2.7	62.5	17.8	1.6
FGF4	EPI	EPI.late	0	0	0.7	8.9	0.6	0.1	8.2	0.3	0	3.7	0.8	0.1
