Review Found	Author	Title	Year	Global Region	Country 	Location	PCR N Tested	PCR N Positive	% PCR  Positive	Microscopy N Tested	Microscopy N Positive	% Microscopy  Positive	Historical Transmission	Current Transmission	Setting_20	Setting_15	Setting_10	Setting_5	PCR_Method	Microscopy_Fields	Sampling_Season	Notes
Whittaker et al.	Proietti	Continuing intense malaria transmission in northern Uganda.	2011	East Africa	Uganda	Apac	241	133	55.19	243	93	38.27	0.7456	0.6248	High_High	High_High	High_High	High_High	Nested	100	Wet	
Whittaker et al.	Souza 	Prevalence of Plasmodium falciparum and P. vivax in an area of transmission located in Pará State, Brazil, determined by amplification of mtDNA using a real-time PCR assay.	2012	South America	Brazil	Cuiba Santarem	74	1	1.35	74	0	0.00	NA	NA	NA	NA	NA	NA	Nested	NA	NA	
Whittaker et al.	Souza	Prevalence of Plasmodium falciparum and P. vivax in an area of transmission located in Pará State, Brazil, determined by amplification of mtDNA using a real-time PCR assay.	2012	South America	Brazil		74	2	0.01	74	0	0.00	NA	NA	NA	NA	NA	NA	Nested	NA	NA	
Whittaker et al.	Souza	Prevalence of Plasmodium falciparum and P. vivax in an area of transmission located in Pará State, Brazil, determined by amplification of mtDNA using a real-time PCR assay.	2012	South America	Brazil		134	1	0.01	134	0	0.00	NA	NA	NA	NA	NA	NA	Nested	NA	NA	
Whittaker et al.	Atkinson	Operational research to inform a sub-national surveillance intervention for malaria elimination in Solomon Islands	2012	Asia&Oceania	Solomon Islands	Isabel Province	1843	1	0.05	8554	1	0.01	NA	NA	NA	NA	NA	NA	Semi-Nested	100	Dry	
Whittaker et al.	Pegha Moukandja	Marked Rise in the Prevalence of Asymptomatic Plasmodium falciparum Infection in Rural Gabon	2016	West Africa	Gabon 	Ogooue-Lolo Province	277	161	58.12	370	93	25.14	0.3408	0.1889	High_Low	High_High	High_High	High_High	Nested	100	Wet	
Whittaker et al.	Pegha Moukandja	Marked Rise in the Prevalence of Asymptomatic Plasmodium falciparum Infection in Rural Gabon	2016	West Africa	Gabon 	Ogooue-Lolo Province	195	109	55.90	267	72	26.97	0.3408	0.1889	High_Low	High_High	High_High	High_High	Nested	100	Wet	
Whittaker et al.	Pegha Moukandja	Marked Rise in the Prevalence of Asymptomatic Plasmodium falciparum Infection in Rural Gabon	2016	West Africa	Gabon 	Ogooue-Lolo Province	161	115	71.43	218	57	26.15	0.3408	0.1889	High_Low	High_High	High_High	High_High	Nested	100	Dry	
Whittaker et al.	Pegha Moukandja	Marked Rise in the Prevalence of Asymptomatic Plasmodium falciparum Infection in Rural Gabon	2016	West Africa	Gabon 	Ogooue-Lolo Province	219	87	39.73	255	36	14.12	0.3408	0.1889	High_Low	High_High	High_High	High_High	Nested	100	Wet	
Whittaker et al.	Pegha Moukandja	Marked Rise in the Prevalence of Asymptomatic Plasmodium falciparum Infection in Rural Gabon	2016	West Africa	Gabon 	Ogooue-Lolo Province	173	134	77.46	232	59	25.43	0.3408	0.1889	High_Low	High_High	High_High	High_High	Nested	100	Wet	
Whittaker et al.	Pegha Moukandja	Marked Rise in the Prevalence of Asymptomatic Plasmodium falciparum Infection in Rural Gabon	2016	West Africa	Gabon 	Ogooue-Lolo Province	114	67	58.77	145	31	21.38	0.3408	0.1889	High_Low	High_High	High_High	High_High	Nested	100	Wet	
