cell,tSNE_1,tSNE_2,cluster
A1.B000127.3_38_F.1.1,-22.5017344225382,-0.759009621713636,3
A1.B000167.3_56_F.1.1,6.21613156351292,35.0405776174404,10
A1.B000412.3_56_F.1.1,-30.5836338553842,1.62788798582947,3
A1.B000633.3_56_F.1.1,-2.5540688207165,-0.603171382623267,19
A1.B000634.3_56_F.1.1,-22.0401233997164,-0.171658553218474,3
A1.B000826.3_39_F.1.1,26.3110123745187,-2.62442733523046,0
A1.B000827.3_38_F.1.1,8.40775297748135,-40.1023765021362,5
A1.B000971.3_39_F.1.1,2.80132582657922,15.7597379780676,2
A1.B001176.3_56_F.1.1,34.7549892241916,5.71500392160783,0
A1.B001717.3_38_F.1.1,-1.52768811645425,0.130067884819941,19
A1.B001750.3_38_F.1.1,20.3696876839901,39.4444084453114,15
A1.B002314.3_56_F.1.1,-12.5175099140321,-20.6008486911468,1
A1.B002423.3_39_F.1.1,-7.92234338679839,-8.35098413343552,4
A1.B002762.3_39_F.1.1,22.1609624359785,-28.0009353948821,13
A1.B002764.3_38_F.1.1,-18.2404643274757,2.08506723567835,14
A1.B002765.3_38_F.1.1,21.8144043161639,-31.6954686498791,13
A1.B002777.3_39_F.1.1,-15.6279880161731,40.149232781145,7
A1.B002780.3_38_F.1.1,-12.7966220050125,38.1939371699252,7
A1.B003279.3_38_F.1.1,31.6395242436231,-19.5510708694572,11
A1.B003281.3_39_F.1.1,27.0213009034042,-11.763163815569,11
A1.B003292.3_39_F.1.1,25.1170119827074,-6.4722636383009,0
A1.D041894.3_9_M.1.1,-22.8797591547916,33.2976296738123,7
A1.D041904.3_10_M.1.1,-14.8057646492919,36.9836164782549,7
A1.D041911.3_8_M.1.1,-32.1971352326286,31.5382273494759,7
A1.D041912.3_8_M.1.1,20.9348168426184,36.2692318926782,15
A1.D042103.3_11_M.1,22.0031266400356,-26.2394257361189,13
A1.D042105.3_11_M.1.1,18.5747819259747,-33.6835680219567,13
A1.D042186.3_8_M.1.1,15.3950762958334,-38.5347737199852,13
A1.D042475.3_9_M.1.1,-35.4151830316064,-5.53424260379346,3
A1.D045058.3_39_F.1.1,-17.4651485890865,-21.1758035516861,1
A1.D045067.3_38_F.1.1,-15.9883410510223,-24.3480717476956,1
A1.MAA000388.3_11_M.1.1,-9.83162747697145,-26.7710095668504,1
A1.MAA000398.3_9_M.1.1,-0.669414490281197,-14.7384774704079,4
A1.MAA000400.3_8_M.1.1,1.33835877293207,-12.8579567955651,4
A1.MAA000427.3_11_M.1.1,17.3827597046217,-15.1602203805865,6
A1.MAA000508.3_9_M.1.1,13.9296171201771,11.9029829051647,18
A1.MAA000531.3_8_M.1.1,-15.2049718442227,-22.324335503241,1
A1.MAA000554.3_8_M.1.1,-7.35525117258163,-28.3546786182445,1
A1.MAA000556.3_9_M.1.1,-30.4781523090348,2.53382483485806,3
A1.MAA000559.3_8_M.1.1,10.3465829466015,20.1323923010777,2
A1.MAA000560.3_10_M.1.1,-14.9237147101823,14.6759160370752,9
A1.MAA000570.3_8_M.1.1,28.8789677527067,-12.7131993954597,11
A1.MAA000593.3_8_M.1.1,29.8093641628351,-3.14318146983111,0
A1.MAA000596.3_9_M.1.1,-16.6255522599406,27.47419008568,8
A1.MAA000600.3_8_M.1.1,-12.571803491127,26.1319383322137,8
A1.MAA000603.3_10_M.1.1,29.7950203794785,-9.5436336464051,11
A1.MAA000604.3_10_M.1.1,34.0586449707582,2.24266490634615,0
A1.MAA000611.3_8_M.1.1,8.54868173825363,-4.37418701495327,12
A1.MAA000617.3_10_M.1.1,32.6091467899523,-0.591827895192847,0
A1.MAA000652.3_10_M.1.1,15.0274403652691,7.9321975645996,18
A1.MAA000776.3_10_M.1.1,-0.950159627725464,11.4475370983166,2
A1.MAA000779.3_11_M.1.1,5.98536898608079,16.2647960188361,2
A1.MAA000848.3_10_M.1.1,-4.31814778227682,28.3429437084474,8
A1.MAA000870.3_10_M.1.1,-31.5033846083092,18.0106727181026,16
A1.MAA000877.3_11_M.1.1,-11.6533123010984,-26.1262306171124,1
A1.MAA000898.3_11_M.1.1,-4.54698497939283,-16.4171669853646,4
A1.MAA000899.3_10_M.1.1,-2.56411059526233,-9.50248343699792,4
A1.MAA000903.3_11_M.1.1,-0.403634739073655,-5.37157537934622,4
A1.MAA000907.3_11_M.1.1,1.63158080248964,-33.483920231311,5
A1.MAA000909.3_10_M.1.1,-23.0384175088474,21.2888723242443,16
A1.MAA000914.3_9_M.1.1,-13.6763153750595,-24.1696447336914,1
A1.MAA000934.3_9_M.1.1,-17.7154867521932,-22.2260654938984,1
A1.MAA000937.3_8_M.1.1,-33.7162745446609,18.2999829200943,16
A1.MAA001632.3_56_F.1.1,-25.9141760198391,22.346756516345,16
A1.MAA001854.3_38_F.1.1,-22.2566262476217,4.18531061289178,14
A1.MAA001875.3_39_F.1.1,14.5483111723941,-1.66788411154092,12
A1.MAA001884.3_38_F.1.1,2.46073416983419,14.630373700461,2
A1.MAA001888.3_39_F.1.1,4.73151521999565,-38.216299625607,5
A10.B000126.3_39_F.1.1,17.0269191818303,-14.2383156528568,6
A10.B000127.3_38_F.1.1,-6.67862173806939,1.01896469998522,19
A10.B000166.3_56_F.1.1,7.0834263212424,36.727228021295,10
A10.B000633.3_56_F.1.1,-34.5631386914579,-0.178358078232148,3
A10.B000825.3_38_F.1.1,32.172841463005,-19.7451817752956,11
A10.B000827.3_38_F.1.1,-2.56111053881954,-39.8932246837339,5
A10.B000971.3_39_F.1.1,-0.140415762226474,-38.5253996762995,5
A10.B001176.3_56_F.1.1,26.6496542576577,-2.24573575010279,0
A10.B001689.3_38_F.1.1,30.1414659141298,-17.4866977603292,11
A10.B001750.3_38_F.1.1,2.64964430281921,-38.5296155535549,5
A10.B002010.3_39_F.1.1,-5.69941994271192,-9.46329488371029,4
A10.B002011.3_38_F.1.1,-9.47744497551589,-6.89554779417371,4
A10.B002421.3_39_F.1.1,-40.2879849396189,2.21125609819874,3
A10.B002423.3_39_F.1.1,-31.0669805985895,0.623063499987603,3
A10.B002427.3_39_F.1.1,-12.2360662254401,-8.50996568820659,4
A10.B002428.3_38_F.1.1,-12.0510590606337,-7.75927854770667,4
A10.B002433.3_38_F.1.1,8.27307087010376,35.7898606845493,10
A10.B002435.3_39_F.1.1,2.61116200256031,40.3239266124386,10
