chr	start	end	nCG	meanMethy1	meanMethy2
chr12	78325551	78329114	298	0.871545571081128	0.132530576033804
chr5	11258385	11261081	176	0.874705450426126	0.0995273202646653
chr13	26268653	26269561	226	0.810140661872557	0.162234692241001
chr12	67116530	67120457	172	0.777412412041682	0.0536799587304339
chr18	34365445	34366241	201	0.763714889557955	0.0987284174294219
chr1	119528835	119532488	216	0.751033817639007	0.110875508715896
chr13	15140353	15142786	157	0.82446245784744	0.0922155141445006
chr8	17524950	17530292	183	0.782077359507772	0.0965194996366056
chr1	164508944	164511572	252	0.609347687871498	0.0670601313829279
chr15	10114735	10116245	180	0.857057830282433	0.172240778664859
LNAT02005970	7763	8657	258	0.220557135970137	0.785705393253511
chr11	903850	905065	218	0.679547681777436	0.0834738454124046
chr7	130001163	130003372	208	0.0878601214604449	0.701412383562089
chr7	139728035	139729496	168	0.767858815166595	0.080954502281713
chr15	34739840	34741043	232	0.686604179837565	0.108798608136303
chr7	7896945	7903094	182	0.762771114987201	0.107345840635608
chr16	62585198	62587555	205	0.107984797674632	0.735197324544148
chr16	41597984	41599362	290	0.690086599326967	0.183213137579957
chr15	15092071	15093792	124	0.858856842485215	0.0828881341023074
chr14	78172221	78174777	162	0.810884432694886	0.118618810443905
chr20	2794141	2797315	175	0.772613729670264	0.095252750433879
chr7	139921262	139922858	172	0.833010102843955	0.165992495259176
chr11	1705627	1707097	211	0.787596195951837	0.190438557621026
chr6	130052301	130054103	193	0.840715687270504	0.209365947625668
chr16	88325238	88326415	160	0.791653951091066	0.112372761344199
chr11	108221480	108223510	176	0.769377623266829	0.132142304564607
chr16	90126988	90127926	221	0.128955073456592	0.700924741217946
chr2	194780675	194782140	116	0.866752382827533	0.0912773426584667
chr1	81992897	81993827	206	0.111479715458344	0.689889984644751
chr18	12715815	12719040	148	0.756177931686688	0.0774498593928003
chr16	62588490	62590245	165	0.0651065744761745	0.707598790224228
chrX	1558494	1560025	168	0.28926637115507	0.911896709975575
chr10	7982594	7984346	143	0.857911560561485	0.156915062354454
chr2	98940632	98941934	156	0.793268367386745	0.117395219379478
chr5	81425458	81426986	197	0.603552058053345	0.0550369482475473
chr15	87582576	87586334	152	0.779550682924302	0.118372930453502
chr13	43159643	43161083	173	0.812198149422618	0.188467385401574
chr1	11525136	11526666	144	0.773443341735206	0.0930528286675304
chr10	12861462	12865126	168	0.779756860235904	0.141304679244764
chr4	16094058	16094636	137	0.827193898267336	0.131540836958136
chr15	9930709	9934542	158	0.779067694495781	0.12051849268406
chrX	53213259	53214439	146	0.750532825687985	0.0814871406383962
chr12	81013414	81014138	143	0.900812667689732	0.214899027954626
chr17	325443	326769	174	0.252557656900698	0.855927602099847
chr15	87788008	87790963	176	0.760292895963304	0.153904294693079
chr17	11733720	11735610	164	0.795478640995182	0.160341340729383
chr9	2221721	2223420	200	0.304145789506532	0.853868464286379
chr14	36617172	36618616	140	0.802237327082036	0.117517131053852
chr4	3743152	3744678	167	0.704954935164915	0.108673650408787
chr17	14022299	14023828	166	0.196593660316636	0.819289039128833
chr1	164513037	164514317	142	0.715271703041339	0.0609423640245011
chr3	146291317	146292653	154	0.77503113863463	0.138681119659942
chr12	5026489	5027844	146	0.759242771496348	0.109423201797819
chr16	89760534	89761536	147	0.894202254971934	0.239159313365373
chr7	59252370	59253681	126	0.878836089020753	0.151939194186719
chr2	99290853	99292763	164	0.72257130409512	0.108930427040469
chr15	87129879	87131854	127	0.873539247761991	0.172770126472436
chr13	14683204	14684503	124	0.857314133591949	0.149055512634525
chr7	49508102	49510700	145	0.830672547930167	0.174328493400065
chr12	75141209	75142478	106	0.857856422138487	0.107349255293788
chr6	117042704	117044796	150	0.789327950128049	0.157681389447614
chrX	27366	28683	140	0.794163513198116	0.144811688116834
chr6	81968110	81968930	142	0.761580816491547	0.0973992241770507
chr5	13216157	13217981	187	0.355216774113268	0.887690720547374
chr4	62521053	62522865	118	0.779899521113621	0.0691541211484293
chr2	54801578	54805078	146	0.752820794675387	0.127169332404055
chr17	3701980	3704420	158	0.673469677929538	0.0903780652424133
chr4	7462662	7463731	146	0.743868610813446	0.124220920006435
chr6	127882768	127883897	105	0.790296618670484	0.0474506538811624
chr13	26625111	26627593	138	0.759768985849525	0.107010532060975
chr14	31865887	31867631	154	0.697662591371319	0.0953155850427575
chr4	86680441	86683798	150	0.752480551522214	0.125758722875314
chr6	120466987	120469892	146	0.695856171150349	0.0797990001591795
chr13	42306579	42308036	119	0.778811785363561	0.0817124583447322
chr14	32769413	32770364	143	0.772146718351726	0.141983958696426
chr3	48186296	48189442	124	0.75448544916684	0.0859435583296603
chr17	16003598	16005795	177	0.719971028058208	0.166627212532387
chr12	63600096	63601044	168	0.703507914215621	0.138331541835152
chr13	80757830	80758790	104	0.824324285531281	0.0902736525791828
chr15	87579083	87580530	113	0.796184610780234	0.0951949560293234
chr4	25273830	25275778	118	0.801740438396621	0.10320859090827
chr4	2223350	2224434	132	0.118543630906877	0.76446192017602
chr5	22667067	22668789	102	0.810450320190163	0.0770705422759416
chr13	44039340	44040230	131	0.142332600718272	0.792333898713591
chr10	25064949	25066697	127	0.780157926786855	0.118276161304059
chr11	1745579	1746929	152	0.706556744158158	0.116348921665072
chr7	139804738	139806076	150	0.724616842738802	0.124017972554602
chr1	25888970	25892397	114	0.771096532528004	0.0779387123364418
chr6	65047813	65051836	126	0.76904159373651	0.111091801202411
